시군구,번지,계약년월,계약일,거래금액(만원),건축년도,단지명,전용면적(㎡),층,해제사유발생일
부산광역시 남구 용호동,563-1,202409,30,"24,200",2000,오륙도 뜨란채,84.57,15,-
대구광역시 동구 율하동,1412,202409,30,"38,500",2009,율하리버파크,84.94,8,-
대구광역시 동구 율하동,1467,202409,30,"29,000",2009,율하센트럴파크8단지,84.94,3,-
서울특별시 강서구 염창동,255,202409,30,"77,000",1999,무학,59.38,12,-
대구광역시 달서구 도원동,1443,202409,30,"29,100",1997,강산타운,134.63,11,-
서울특별시 금천구 시흥동,384-12,202409,30,"28,500",1989,남서울건영2,41.34,2,-
서울특별시 강서구 마곡동,743-4,202409,30,"192,000",2014,마곡엠밸리7단지,114.86,8,-
대구광역시 북구 국우동,1142,202409,30,"44,000",2021,힐스테이트데시앙도남1단지,84.9628,25,-
대구광역시 동구 용계동,1060,202409,30,"27,500",2015,율하역엘크루,84.9142,13,20240930
대구광역시 달성군 유가읍 봉리,605,202409,30,"25,400",2016,호반베르디움,73.9728,12,-
부산광역시 금정구 부곡동,970,202409,30,"49,000",2010,부곡롯데캐슬디아망,84.9007,16,-
서울특별시 구로구 구로동,1280,202409,30,"61,900",2007,한신휴플러스(1280-0),50.03,9,-
부산광역시 남구 대연동,243-23,202409,30,"43,200",2001,청구,140.14,11,-
인천광역시 부평구 부개동,498-5,202409,30,"27,800",1996,부개주공3,59.56,3,-
부산광역시 금정구 부곡동,970,202409,30,"49,000",2010,부곡롯데캐슬디아망,84.9007,16,20241128
인천광역시 부평구 부개동,498-5,202409,30,"19,800",1996,부개주공3,39.99,15,-
부산광역시 연제구 연산동,387-1,202409,30,"41,500",1988,한양(5차),82.5475,12,-
부산광역시 남구 대연동,72-23,202409,30,"8,000",1998,대승타워,33.1,11,-
부산광역시 남구 대연동,1872,202409,30,"52,000",2018,대연롯데캐슬레전드1단지,59.99,24,-
서울특별시 양천구 신월동,470-26,202409,30,"29,200",2020,양천홈타운3차,41.22,4,-
대구광역시 달성군 유가읍 봉리,622,202409,30,"21,500",2015,힐데스하임아파트,71.903,16,-
서울특별시 강서구 방화동,804,202409,30,"71,500",1994,방화동진로아파트,84.63,10,-
대구광역시 동구 각산동,1177,202409,30,"24,500",2018,각산서한이다음,59.9075,8,-
서울특별시 관악구 신림동,1563-78,202409,30,"44,000",2004,미래한건(1563-78),74.98,4,-
대구광역시 달서구 상인동,1521,202409,30,"22,800",1993,서한,84.99,5,-
인천광역시 남동구 논현동,66-24,202409,30,"37,400",2013,유호엔시티101-103동,101.1212,10,-
인천광역시 남동구 논현동,580-1,202409,30,"39,700",2009,논현 파크 포레,84.88,4,-
부산광역시 금정구 장전동,732,202409,30,"52,000",2012,금정산쌍용예가,84.9468,19,-
대구광역시 달서구 상인동,750,202409,30,"25,000",1999,상인화성하이츠,85.0,7,-
대구광역시 북구 구암동,786,202409,30,"10,000",2000,그린빌3차,39.63,1,-
대구광역시 동구 신암동,165-20,202409,30,"6,200",1980,우남(165-20),41.4,4,-
부산광역시 수영구 남천동,10월 14일,202409,30,"6,000",2013,남천알파타워,16.65,4,-
인천광역시 중구 신흥동3가,7-235,202409,30,"37,000",2002,신흥아이파크,114.94,16,-
서울특별시 강서구 방화동,839,202409,30,"34,000",1993,방화그린,33.6,10,-
광주광역시 북구 문흥동,995-1,202409,30,"17,800",1994,해광,84.96,14,-
대구광역시 동구 신서동,809-1,202409,30,"12,300",1992,녹원,69.54,2,-
대구광역시 동구 신서동,543,202409,30,"17,500",2003,아름다운나날1,58.643,8,-
인천광역시 중구 신흥동3가,7-235,202409,30,"36,800",2002,신흥아이파크,114.94,2,-
대구광역시 북구 동천동,880-1,202409,30,"16,000",1996,칠곡2영남타운,60.0,9,-
서울특별시 중랑구 묵동,13,202409,30,"54,000",1996,신내,59.76,6,-
서울특별시 중랑구 묵동,171-4,202409,30,"57,400",2005,공감대,59.959,14,-
부산광역시 연제구 연산동,2382,202409,30,"57,000",2021,힐스테이트연산,84.9696,32,-
부산광역시 연제구 연산동,2367,202409,30,"26,500",2020,연산롯데캐슬골드포레,39.8739,9,-
부산광역시 연제구 연산동,2362,202409,30,"59,000",2019,시청역비스타동원,84.989,34,-
서울특별시 성동구 금호동2가,1217,202409,30,"138,000",2012,래미안하이리버,59.99,17,-
대구광역시 동구 괴전동,125,202409,30,"12,000",2018,안심역서원프레시빌,49.5733,3,-
부산광역시 금정구 구서동,194-2,202409,30,"30,100",1984,산호,74.43,4,-
서울특별시 서초구 방배동,1008-2,202409,30,"230,000",2004,래미안방배아트힐(1008-2),127.61,10,-
서울특별시 서초구 방배동,1015,202409,30,"249,000",1985,임광,136.38,4,-
부산광역시 동래구 온천동,397-6,202409,30,"49,000",1978,삼익,82.68,4,-
서울특별시 중랑구 망우동,490-30,202409,30,"56,500",2002,문수해오름,83.61,6,-
부산광역시 동래구 온천동,1853,202409,30,"22,500",2022,동래래미안아이파크,29.8942,13,-
부산광역시 동래구 온천동,1853,202409,30,"22,500",2022,동래래미안아이파크,29.8942,11,-
부산광역시 동래구 온천동,1853,202409,30,"22,500",2022,동래래미안아이파크,29.8942,13,20241011
서울특별시 광진구 구의동,251-177,202409,30,"29,400",2015,솔렌시아,31.08,7,-
광주광역시 서구 금호동,805,202409,30,"45,500",2000,남양파크,112.86,4,-
부산광역시 동래구 온천동,1853,202409,30,"90,000",2022,동래래미안아이파크,84.9856,23,-
광주광역시 서구 유촌동,871,202409,30,"18,000",1999,상무버들마을주공2,59.97,4,-
대구광역시 동구 대림동,885,202409,30,"23,800",2016,대구혁신도시서한이다음3차,78.8497,4,-
서울특별시 구로구 구로동,256-1,202409,30,"70,000",2004,삼성래미안,58.136,21,-
부산광역시 금정구 남산동,374-68,202409,30,"15,000",1994,현대그레이스,82.88,19,-
인천광역시 부평구 삼산동,440-1,202409,30,"39,900",2005,삼산타운주공1단지,51.86,16,-
인천광역시 중구 항동7가,27-107,202409,30,"9,000",1982,라이프비취2차,40.0,9,-
부산광역시 수영구 광안동,1332,202409,30,"72,000",2017,광안더샵,84.97,18,-
부산광역시 동래구 온천동,1853,202409,30,"23,300",2022,동래래미안아이파크,29.8942,20,-
부산광역시 동래구 온천동,1853,202409,30,"90,000",2022,동래래미안아이파크,84.9856,23,20241008
부산광역시 동래구 온천동,1853,202409,30,"90,000",2022,동래래미안아이파크,84.9856,23,20241002
부산광역시 동래구 온천동,1838,202409,30,"55,700",2019,동래효성해링턴플레이스,84.4701,8,-
부산광역시 동래구 온천동,1838,202409,30,"60,500",2019,동래효성해링턴플레이스,84.6112,36,-
부산광역시 동래구 온천동,1412-1,202409,30,"50,000",2006,반도보라스카이뷰,84.8813,34,-
광주광역시 남구 서동,291,202409,30,"31,400",2017,서동영무예다음,84.9373,3,-
인천광역시 부평구 구산동,360,202409,30,"41,500",2006,부평자이,84.7461,6,-
인천광역시 중구 운서동,Jun-88,202409,30,"25,000",2001,영종주공스카이빌10단지,51.74,5,-
인천광역시 동구 화수동,02월 07일,202409,30,"8,500",1990,미륭,39.924,5,-
부산광역시 수영구 남천동,148-4,202409,30,"150,000",1980,삼익비치,115.6,3,-
대구광역시 동구 신천동,622,202409,30,"26,000",2011,신천휴먼시아6단지,59.91,10,-
서울특별시 은평구 응암동,590-10,202409,30,"58,400",2023,명남스카이뷰,57.07,11,-
인천광역시 서구 검암동,629-1,202409,30,"32,000",2003,신명스카이뷰1,59.881,5,-
인천광역시 서구 검암동,629-1,202409,30,"32,000",2003,신명스카이뷰1,59.881,5,20240930
인천광역시 서구 가정동,341-15,202409,30,"26,250",1993,하나3,82.7,8,-
인천광역시 서구 가정동,563-1,202409,30,"11,500",1990,대진2,45.04,3,-
인천광역시 연수구 청학동,451,202409,30,"18,000",1994,시대,35.743,14,-
서울특별시 마포구 망원동,492,202409,30,"77,000",2000,대상4,59.97,10,-
서울특별시 서초구 잠원동,53-15,202409,30,"210,000",1987,강변,66.29,12,-
서울특별시 마포구 상암동,1660,202409,30,"111,500",2005,상암월드컵파크7단지,84.9,3,-
인천광역시 남동구 서창동,540,202409,30,"41,500",2008,서해그랑블,106.6026,5,-
인천광역시 남동구 서창동,676,202409,30,"35,000",2017,더포레스트,59.98,12,-
서울특별시 영등포구 영등포동,647,202409,30,"99,500",2002,영등포푸르지오,79.777,2,-
부산광역시 수영구 남천동,595,202409,30,"84,000",2019,남천금호어울림더비치,84.94,9,-
서울특별시 영등포구 영등포동5가,Jan-49,202409,30,"57,000",1999,현대프라자,68.06,7,-
서울특별시 영등포구 영등포동7가,Jan-46,202409,30,"103,000",1998,경남아너스빌,84.93,21,-
대구광역시 서구 내당동,308-11,202409,30,"21,500",1983,삼익뉴타운,84.88,9,-
서울특별시 서초구 반포동,20-43,202409,30,"305,000",2009,반포자이,59.98,25,-
서울특별시 서초구 반포동,1,202409,30,"513,000",2023,래미안원베일리,84.98,14,-
대구광역시 서구 내당동,11-50,202409,30,"8,700",1981,월성,44.525,2,-
부산광역시 사하구 다대동,120-10,202409,30,"27,000",1996,삼환,84.87,15,20241108
대구광역시 북구 사수동,789,202409,30,"18,500",2015,브라운스톤강북,59.95,20,-
부산광역시 동래구 낙민동,326,202409,30,"59,000",2019,포레나동래,84.8287,26,-
인천광역시 부평구 부평동,947,202409,30,"55,000",2014,래미안부평,84.963,1,-
서울특별시 서초구 반포동,Apr-60,202409,30,"280,000",1987,반포미도,84.96,11,-
인천광역시 부평구 삼산동,388-7,202409,30,"23,000",2000,삼산주공미래타운2차,49.4,7,-
인천광역시 연수구 연수동,532,202409,30,"34,200",1993,경남,70.28,10,-
인천광역시 연수구 연수동,596,202409,30,"47,000",2011,연수푸르지오3단지,110.01,23,-
부산광역시 동래구 안락동,962,202409,30,"49,000",1990,화목,146.69,11,-
대구광역시 서구 내당동,2346,202409,30,"45,900",2022,e편한세상두류역,74.9916,4,20240930
대구광역시 서구 내당동,2346,202409,30,"45,900",2022,e편한세상두류역,74.9916,4,-
대구광역시 달서구 용산동,501-2,202409,30,"20,200",1997,성서2보성타운,84.95,15,-
서울특별시 양천구 신정동,325,202409,30,"118,000",1988,목동신시가지11,59.29,5,-
부산광역시 동래구 안락동,1242,202409,30,"37,400",2005,안락뜨란채2단지,59.98,11,-
인천광역시 서구 가좌동,81-22,202409,30,"24,700",1985,현대,84.98,9,-
서울특별시 성북구 보문동6가,458,202409,30,"96,000",2017,보문파크뷰자이,59.19,15,-
대구광역시 서구 비산동,1011,202409,30,"15,500",1982,삼성만평,73.5575,2,-
서울특별시 양천구 신정동,326,202409,30,"119,200",1988,목동신시가지12,56.76,2,-
대구광역시 달서구 대곡동,1123,202409,30,"33,000",2018,수목원제일풍경채,72.25,7,-
서울특별시 영등포구 영등포동8가,Jan-76,202409,30,"95,000",1999,삼환,59.91,7,-
서울특별시 양천구 신정동,329,202409,30,"205,000",1987,목동신시가지14,108.28,15,-
대구광역시 서구 중리동,01월 26일,202409,30,"31,800",2009,중리롯데캐슬,84.99,15,-
부산광역시 사상구 모라동,1362,202409,30,"10,900",1992,우신모라,47.37,9,-
대구광역시 달서구 월성동,1894,202409,30,"50,000",2022,월성삼정그린코아에듀파크,84.6758,24,-
광주광역시 남구 주월동,1134,202409,30,"22,250",1997,경남,84.55,15,-
서울특별시 서초구 서초동,1316-15,202409,30,"180,000",2002,현대성우주상복합아파트,174.34,3,-
서울특별시 서초구 서초동,1685,202409,30,"325,000",1988,삼풍아파트,130.73,1,-
광주광역시 서구 농성동,260-7,202409,30,"139,000",2022,빌리브트레비체,136.447,30,-
대구광역시 달서구 월성동,1835,202409,30,"34,500",2014,월배e-편한세상,59.9694,23,-
대구광역시 달서구 월성동,1835,202409,30,"34,700",2014,월배e-편한세상,59.9694,23,-
부산광역시 부산진구 개금동,523-27,202409,30,"33,800",2019,개금동포르투나,74.0806,10,-
광주광역시 서구 농성동,702,202409,30,"62,000",2019,농성SKVIEWCentral,84.9752,14,-
부산광역시 부산진구 가야동,669-9,202409,30,"43,000",1992,벽산2,136.68,9,-
부산광역시 부산진구 가야동,Jun-82,202409,30,"21,000",2018,가야센트리움,46.99,13,-
서울특별시 은평구 갈현동,468-4,202409,30,"43,000",2019,플라잉캐슬,55.7,7,20241002
부산광역시 부산진구 당감동,123,202409,30,"22,000",1996,태화현대2,59.72,1,-
부산광역시 부산진구 당감동,109-1,202409,30,"25,800",1996,태화현대1,59.72,12,-
부산광역시 연제구 연산동,859-2,202409,30,"22,000",2016,시청역퀸즈W,49.3704,18,-
서울특별시 강남구 개포동,1280,202409,30,"330,000",2019,래미안블레스티지,84.94,19,-
부산광역시 기장군 일광읍 삼성리,785,202409,30,"54,000",2020,일광자이푸르지오2단지,84.9718,8,-
부산광역시 기장군 일광읍 삼성리,820,202409,30,"69,200",2020,일광신도시비스타동원1차,104.2061,22,-
인천광역시 서구 석남동,532,202409,30,"30,000",2007,금호어울림,59.817,2,-
서울특별시 양천구 신정동,329,202409,30,"194,000",1987,목동신시가지14,108.28,15,-
서울특별시 성북구 정릉동,1018,202409,30,"46,000",1999,길음뉴타운데시앙,59.42,13,-
서울특별시 양천구 신정동,312,202409,30,"220,000",1987,목동신시가지9,106.93,6,-
부산광역시 사하구 장림동,372-4,202409,30,"14,700",1989,장림현대(372-4),66.03,4,-
인천광역시 동구 송림동,339,202409,30,"31,400",2009,풍림아이원,84.936,12,-
부산광역시 부산진구 부암동,560-14,202409,30,"16,100",1993,협성피닉스타운,84.9,4,-
대구광역시 달서구 월성동,89,202409,30,"26,000",1992,서한맨션,127.45,10,-
대구광역시 중구 대신동,2106,202409,30,"61,300",2015,대신센트럴자이,96.4815,25,-
서울특별시 양천구 신정동,296-28,202409,30,"64,000",1999,목동캐슬아파트,91.08,8,-
대구광역시 동구 신천동,556-1,202409,30,"11,000",1989,신천LH,45.68,10,-
대구광역시 동구 신천동,633,202409,30,"14,800",1996,동신우방,59.854,2,-
광주광역시 서구 양동,460,202409,30,"31,500",2010,양동CENTRALVIEW,84.87,11,-
서울특별시 강남구 삼성동,Apr-78,202409,30,"197,000",1992,청구아파트,84.99,2,-
서울특별시 강남구 삼성동,07월 03일,202409,30,"368,000",2007,래미안삼성2차,134.81,12,-
광주광역시 동구 용산동,747,202409,30,"55,000",2022,무등산골드클래스2차,84.1119,5,-
대구광역시 달서구 장기동,845,202409,30,"43,500",2019,코오롱하늘채,84.9848,11,20241011
대구광역시 달서구 장기동,813-1,202409,30,"33,500",2000,장기초록나라,84.9802,13,-
부산광역시 부산진구 초읍동,676,202409,30,"41,700",2020,포레나부산초읍,59.9158,19,-
서울특별시 양천구 신정동,1283,202409,30,"60,000",2001,푸른마을3,59.85,6,-
서울특별시 노원구 중계동,359-1,202409,30,"84,000",1992,주공5,76.51,1,-
인천광역시 부평구 부평동,240-15,202409,30,"20,500",2017,마린타워,59.87,10,-
